"","neuron_names","freq_vector","bin_edges","thresh_vals_sn1","modal_classification","skew_value"
"36","20160920_1013_BGUG_HuC_ltRFP_d6_F7","[26, 133, 124, 20, 13, 9, 0, 23, 20, 81, 151]","[26.60334256693194, 43.498647772595135, 60.393952978258326, 77.28925818392153, 94.18456338958472, 111.07986859524792, 127.97517380091112, 144.8704790065743, 161.7657842122375, 178.66108941790068, 195.55639462356388, 212.45169982922707]",136.422826403743,"S",-1
"37","20160920_1013_BGUG_HuC_ltRFP_d6_F8","[28, 14, 37, 60, 43, 10, 5, 17, 18, 24]","[22.51313436516248, 45.86667579346188, 69.22021722176129, 92.57375865006068, 115.92730007836008, 139.28084150665947, 162.6343829349589, 185.9879243632583, 209.34146579155768, 232.69500721985708, 256.0485486481565]",174.311153649109,"S",-1
"38","20160920_1013_BGUG_HuC_ltRFP_d6_F11","[5, 0, 0, 0, 0, 18, 51, 74, 67, 46, 26, 16, 6, 10, 10, 12, 5, 0, 0, 0, 0, 0, 0, 5, 2, 3, 4, 2, 3, 4, 3, 3, 3, 4, 3, 4, 4]","[5.451723996434514, 10.784254285955582, 16.11678457547665, 21.449314864997717, 26.781845154518784, 32.11437544403985, 37.446905733560925, 42.77943602308199, 48.11196631260306, 53.444496602124126, 58.77702689164519, 64.10955718116625, 69.44208747068733, 74.77461776020839, 80.10714804972946, 85.43967833925052, 90.7722086287716, 96.10473891829267, 101.43726920781373, 106.7697994973348, 112.10232978685586, 117.43486007637694, 122.767390365898, 128.09992065541908, 133.43245094494014, 138.7649812344612, 144.09751152398226, 149.43004181350335, 154.7625721030244, 160.09510239254547, 165.42763268206653, 170.76016297158762, 176.09269326110868, 181.42522355062974, 186.75775384015083, 192.0902841296719, 197.42281441919295, 202.755344708714]",13.4505194307161,"S",-1
"39","20160921_1013_BGUG_HuC_ltRFP_d5_F4","[8, 11, 12, 15, 7, 4, 0, 9]","[50.961935937631694, 59.559107619393124, 68.15627930115456, 76.75345098291598, 85.35062266467742, 93.94779434643885, 102.54496602820028, 111.1421377099617, 119.73930939172314]",106.843551869081,"S",-1
"40","20160921_1013_BGUG_HuC_ltRFP_d7_F1","[58, 29, 8, 0, 2, 1, 0, 24, 24]","[10.034514185010863, 46.61799815449988, 83.2014821239889, 119.78496609347792, 156.36845006296693, 192.95193403245594, 229.53541800194498, 266.11890197143396, 302.702385940923, 339.285869910412]",138.076708078222,"S",-1
"41","20160921_1013_BGUG_HuC_ltRFP_d7_F2","[10, 43, 51, 45, 22, 11, 3, 6, 3, 5, 9, 8, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2]","[14.425665594464299, 21.59820033730422, 28.77073508014414, 35.94326982298406, 43.11580456582398, 50.2883393086639, 57.460874051503815, 64.63340879434374, 71.80594353718365, 78.97847828002358, 86.15101302286351, 93.32354776570341, 100.49608250854334, 107.66861725138327, 114.84115199422317, 122.0136867370631, 129.18622147990303, 136.35875622274293, 143.53129096558285, 150.70382570842278, 157.8763604512627, 165.0488951941026, 172.22142993694254, 179.39396467978247, 186.56649942262237, 193.7390341654623]",104.082349879963,"S",-1
"42","20160921_1013_BGUG_HuC_ltRFP_d7_F3","[4, 13, 20, 35, 18, 22, 6, 9]","[9.273396650588717, 19.268952368138038, 29.264508085687353, 39.260063803236676, 49.25561952078599, 59.251175238335314, 69.24673095588463, 79.24228667343395, 89.23784239098327]",74.2445088146593,"S",1
"43","20160921_1013_BGUG_HuC_ltRFP_d7_F5","[3, 1, 6, 28, 37, 35, 53, 63, 42, 19, 3, 2, 3, 1, 2, 2, 2, 1, 2, 5, 4, 7, 2, 4, 5, 5]","[6.4914544498177555, 12.113892590887389, 17.73633073195702, 23.35876887302665, 28.981207014096285, 34.60364515516592, 40.226083296235544, 45.84852143730518, 51.47095957837482, 57.09339771944444, 62.715835860514076, 68.33827400158371, 73.96071214265334, 79.58315028372297, 85.20558842479261, 90.82802656586223, 96.45046470693187, 102.0729028480015, 107.69534098907113, 113.31777913014076, 118.9402172712104, 124.56265541228002, 130.18509355334967, 135.80753169441928, 141.42996983548892, 147.05240797655856, 152.6748461176282]",14.9251116614222,"S",-1
"44","20160922_1013_BGUG_HuC_ltRFP_d6_F3","[68, 41, 0, 22, 23, 0, 0, 0, 0, 0, 2, 10]","[4.799957661921297, 36.64325992349522, 68.48656218506915, 100.32986444664306, 132.17316670821697, 164.0164689697909, 195.85977123136482, 227.70307349293876, 259.54637575451267, 291.3896780160866, 323.23298027766054, 355.0762825392344, 386.9195848008083]",84.4082133158561,"S",-1
"45","20160922_1013_BGUG_HuC_ltRFP_d6_F4","[101, 139, 42, 10, 7, 5, 0, 0, 5, 95]","[12.028664013604796, 32.23046507395287, 52.43226613430095, 72.63406719464903, 92.83586825499711, 113.03766931534518, 133.23947037569326, 153.44127143604135, 173.64307249638944, 193.84487355673753, 214.04667461708559]",143.340370905867,"S",-1
"46","20160922_1013_BGUG_HuC_ltRFP_d6_F6","[117, 30, 0, 0, 14, 8, 21, 18, 16]","[10.431444949621046, 46.75037387387538, 83.06930279812971, 119.38823172238406, 155.70716064663839, 192.02608957089274, 228.34501849514706, 264.6639474194014, 300.98287634365573, 337.3018052679101]",101.228767260257,"S",-1
